Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,0,Afghanistan,1/2/2021 5:22,33.93911,67.709953,52513,2201,41727,8585,Afghanistan,134.8965783,4.191343096
0,0,Albania,1/2/2021 5:22,41.1533,20.1683,58316,1181,33634,23501,Albania,2026.409062,2.025173194
0,0,Algeria,1/2/2021 5:22,28.0339,1.6596,99897,2762,67395,29740,Algeria,227.8098608,2.764847793
0,0,Andorra,1/2/2021 5:22,42.5063,1.5218,8117,84,7463,570,Andorra,10505.40348,1.034865098
0,0,Angola,1/2/2021 5:22,-11.2027,17.8739,17568,405,11146,6017,Angola,53.45298103,2.305327869
0,0,Antigua and Barbuda,1/2/2021 5:22,17.0608,-61.7964,159,5,148,6,Antigua and Barbuda,162.3641859,3.144654088
0,0,Argentina,1/2/2021 5:22,-38.4161,-63.6167,1629594,43319,1426676,159599,Argentina,3605.633332,2.658269483
0,0,Armenia,1/2/2021 5:22,40.0691,45.0382,159738,2828,143355,13555,Armenia,5390.664389,1.770399028
0,0,Austria,1/2/2021 5:22,47.5162,14.5501,358774,7564,334901,21749,Austria,4029.479037,1.725216375
0,0,Azerbaijan,1/2/2021 5:22,40.1431,47.5769,219041,2670,188280,28091,Azerbaijan,2160.34342,1.218949877
0,0,Bahamas,1/2/2021 5:22,25.025885,-78.035889,7887,171,6239,1477,Bahamas,2005.604606,2.168124762
0,0,Bahrain,1/2/2021 5:22,26.0275,50.55,92913,352,90369,2192,Bahrain,5460.386005,0.378849031
0,0,Bangladesh,1/2/2021 5:22,23.685,90.3563,514500,7576,458656,48268,Bangladesh,312.4062952,1.47249757
0,0,Barbados,1/2/2021 5:22,13.1939,-59.5432,395,7,319,69,Barbados,137.4529789,1.772151899
0,0,Belarus,1/2/2021 5:22,53.7098,27.9534,196223,1433,178102,16688,Belarus,2076.583069,0.730291556
0,0,Belize,1/2/2021 5:22,17.1899,-88.4976,10776,248,9795,733,Belize,2710.118429,2.301410542
0,0,Benin,1/2/2021 5:22,9.3077,2.3158,3251,44,3061,146,Benin,26.81635654,1.353429714
0,0,Bhutan,1/2/2021 5:22,27.5142,90.4336,689,0,449,240,Bhutan,89.29358279,0
0,0,Bolivia,1/2/2021 5:22,-16.2902,-63.5887,160985,9175,132510,19300,Bolivia,1379.119336,5.699288754
0,0,Bosnia and Herzegovina,1/2/2021 5:22,43.9159,17.6791,112143,4086,77682,30375,Bosnia and Herzegovina,3418.144577,3.643562238
